,ANO,MES,NCCO
0,2013,1,25
1,2013,2,111
2,2013,3,219
3,2013,4,790
4,2013,5,1067
5,2013,6,2282
6,2013,7,4011
7,2013,8,7609
8,2013,9,5363
9,2013,10,539
10,2013,11,466
11,2013,12,647
12,2014,1,13
13,2014,2,6
14,2014,3,697
15,2014,4,388
16,2014,5,1433
17,2014,6,1274
18,2014,7,1726
19,2014,8,2343
20,2014,9,970
21,2014,10,464
22,2014,11,40
23,2014,12,34
24,2015,1,229
25,2015,2,303
26,2015,3,2211
27,2015,4,1532
28,2015,5,1669
29,2015,6,2279
30,2015,7,3801
31,2015,8,4010
32,2015,9,2296
33,2015,10,839
34,2015,11,208
35,2015,12,266
36,2016,1,11
37,2016,2,81
38,2016,3,278
39,2016,4,346
40,2016,5,434
41,2016,6,896
42,2016,7,3543
43,2016,8,5353
44,2016,9,3053
45,2016,10,1512
46,2016,11,333
47,2016,12,264
48,2017,1,795
49,2017,2,318
50,2017,3,1270
51,2017,4,2498
52,2017,5,930
53,2017,6,1871
54,2017,7,2457
55,2017,8,4227
56,2017,9,2262
57,2017,10,3234
58,2017,11,822
59,2017,12,322
60,2018,1,149
61,2018,2,1444
62,2018,3,201
63,2018,4,1056
64,2018,5,2085
65,2018,6,583
66,2018,7,757
67,2018,8,2250
68,2018,9,1818
69,2018,10,1817
70,2018,11,57
71,2018,12,56
72,2019,1,405
73,2019,2,480
74,2019,3,1255
75,2019,4,216
76,2019,5,1216
77,2019,6,1140
78,2019,7,1496
79,2019,8,1591
80,2019,9,2215
81,2019,10,720
82,2019,11,56
83,2019,12,42
84,2020,1,69
85,2020,2,140
86,2020,3,319
87,2020,4,86
88,2020,5,469
89,2020,6,891
90,2020,7,3047
91,2020,8,1882
92,2020,9,1808
93,2020,10,769
94,2020,11,120
95,2020,12,19
96,2021,1,213
97,2021,2,39
98,2021,3,1281
99,2021,4,459
100,2021,5,595
101,2021,6,961
102,2021,7,1343
103,2021,8,1569
104,2021,9,652
105,2021,10,625
106,2021,11,355
107,2021,12,107
108,2022,1,736
109,2022,2,597
